Is Duplicate Row?-2,State Full Name,Is Duplicate Row?,VIN (1-10),County,City,Postal Code,Model Year,Vehicle Age,Make,Model,Electric Vehicle Type,Clean Alternative Fuel Vehicle (CAFV) Eligibility,Electric Range,Base MSRP,Legislative District,DOL Vehicle ID,Longitude,Latitude,Electric Utility,2020 Census Tract
Unique,Washington,Unique,5YJSA1DP3D,King,Snoqualmie,98065,2013,13,Tesla,MODEL S,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,208,69900,5,186196202,-121.82432,47.52716,CITY OF TACOMA - (WA)||TANNER ELECTRIC COOP,53033032703
Unique,Washington,Unique,5YJSA1H16E,Kitsap,Bremerton,98312,2014,12,Tesla,MODEL S,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,208,69900,35,211038320,-122.66122,47.56573,PUGET SOUND ENERGY INC,53035080900
Unique,Washington,Unique,5YJSA1DP4D,King,Mercer Island,98040,2013,13,Tesla,MODEL S,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,208,69900,41,141321477,-122.21238,47.57816,PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),53033024302
Unique,Washington,Unique,YV4BR0PL8J,King,Seattle,98133,2018,8,Volvo,XC90,Plug-in Hybrid Electric Vehicle (PHEV),Not eligible due to low battery range,19,64950,46,161723264,-122.3503,47.71868,CITY OF SEATTLE - (WA)|CITY OF TACOMA - (WA),53033000601
Unique,Washington,Unique,5YJSA1AG3D,King,Woodinville,98072,2013,13,Tesla,MODEL S,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,208,69900,45,141388677,-122.15545,47.75448,PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),53033032320
Unique,Washington,Unique,5YJSA1CP1C,King,Bellevue,98007,2012,14,Tesla,MODEL S,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,265,59900,48,6174472,-122.12053,47.61334,PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),53033023300
Unique,Washington,Unique,2C4RC1N71K,Whatcom,Bellingham,98226,2019,7,Chrysler,PACIFICA,Plug-in Hybrid Electric Vehicle (PHEV),Clean Alternative Fuel Vehicle Eligible,32,39995,40,350060910,-122.49756,48.7999,PUGET SOUND ENERGY INC||PUD NO 1 OF WHATCOM COUNTY,53073000804
Unique,Washington,Unique,KNDJP3AE7J,Clark,Vancouver,98660,2018,8,Kia,SOUL EV,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,111,33950,49,167424498,-122.67156,45.63248,BONNEVILLE POWER ADMINISTRATION||PUD NO 1 OF CLARK COUNTY - (WA),53011042100
Unique,Washington,Unique,KNDJP3AE3J,Thurston,Olympia,98503,2018,8,Kia,SOUL EV,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,111,33950,2,135658435,-122.82324,47.04437,PUGET SOUND ENERGY INC,53067011628
Unique,Washington,Unique,5YJRE11B38,San Juan,Friday Harbor,98250,2008,18,Tesla,ROADSTER,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,220,98950,40,132987529,-123.01648,48.53448,BONNEVILLE POWER ADMINISTRATION||ORCAS POWER & LIGHT COOP,53055960302
Unique,Washington,Unique,LYVBR0DL6J,King,Sammamish,98029,2018,8,Volvo,XC60,Plug-in Hybrid Electric Vehicle (PHEV),Not eligible due to low battery range,17,52900,5,280771011,-122.00292,47.54748,PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),53033032222
Unique,Washington,Unique,LYVBR0DL7K,Jefferson,Quilcene,98376,2019,7,Volvo,XC60,Plug-in Hybrid Electric Vehicle (PHEV),Not eligible due to low battery range,17,52900,24,253185761,-122.8775,47.82642,BONNEVILLE POWER ADMINISTRATION||PUGET SOUND ENERGY INC||PUD NO 1 OF JEFFERSON COUNTY,53031950202
Unique,Washington,Unique,WBA8E1C55H,King,Seattle,98119,2017,9,Bmw,330E,Plug-in Hybrid Electric Vehicle (PHEV),Not eligible due to low battery range,14,44100,36,350356492,-122.3684,47.64586,CITY OF SEATTLE - (WA)|CITY OF TACOMA - (WA),53033006800
Unique,Washington,Unique,YV4BR0PM2J,Snohomish,Monroe,98272,2018,8,Volvo,XC90,Plug-in Hybrid Electric Vehicle (PHEV),Not eligible due to low battery range,19,64950,39,142127569,-121.98087,47.8526,BONNEVILLE POWER ADMINISTRATION||PUD 1 OF SNOHOMISH COUNTY,53061052207
Unique,Washington,Unique,5YJSA1CG3D,King,Kirkland,98033,2013,13,Tesla,MODEL S,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,208,69900,48,140758824,-122.2066,47.67887,PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),53033022702
Unique,Washington,Unique,KNDJP3AE9G,Stevens,Springdale,99173,2016,10,Kia,SOUL,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,93,31950,7,181903725,-117.74137,48.05738,,53065951301
Unique,Washington,Unique,WBAJB1C52K,Skagit,Bow,98232,2019,7,Bmw,530E,Plug-in Hybrid Electric Vehicle (PHEV),Not eligible due to low battery range,15,55700,10,146983882,-122.397,48.56045,PUGET SOUND ENERGY INC,53057950801
Unique,Washington,Unique,WBA7J2C5XH,Clark,Vancouver,98663,2017,9,Bmw,740E,Plug-in Hybrid Electric Vehicle (PHEV),Not eligible due to low battery range,14,89100,49,142211604,-122.64695,45.65675,BONNEVILLE POWER ADMINISTRATION||PUD NO 1 OF CLARK COUNTY - (WA),53011041003
Unique,Washington,Unique,WMZYU7C56K,Pierce,Lake Tapps,98391,2019,7,Mini,COUNTRYMAN,Plug-in Hybrid Electric Vehicle (PHEV),Not eligible due to low battery range,12,36900,31,275232457,-122.17144,47.19175,PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),53053070314
Unique,Washington,Unique,5YJRE11B78,Whatcom,Ferndale,98248,2008,18,Tesla,ROADSTER,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,220,98950,42,164727923,-122.59351,48.84756,PUGET SOUND ENERGY INC||PUD NO 1 OF WHATCOM COUNTY,53073010600
Unique,Washington,Unique,KNDJP3AE0G,Snohomish,Lake Stevens,98258,2016,10,Kia,SOUL,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,93,31950,44,478102103,-122.06402,48.01497,PUGET SOUND ENERGY INC,53061052506
Unique,Washington,Unique,WBAJA9C52J,King,Seattle,98102,2018,8,Bmw,530E,Plug-in Hybrid Electric Vehicle (PHEV),Not eligible due to low battery range,16,52650,43,153733842,-122.32427,47.63433,CITY OF SEATTLE - (WA)|CITY OF TACOMA - (WA),53033006100
